,s0_avg_threads,s1_avg_threads,s2_avg_threads,s3_avg_threads,s4_avg_threads,s5_avg_threads,s6_avg_threads,s7_avg_threads,s8_avg_threads,s9_avg_threads,s10_avg_threads,s11_avg_threads,s12_avg_threads,s13_avg_threads,s14_avg_threads
s0_avg_threads,0.0,0.0,0.0,1.0671594952300483e-30,0.0,0.0,0.0,0.0,0.0,1.3256364050075364e-15,4.4467883762818936e-27,0.0,3.3217384295038734e-16,0.0,0.0
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,1.0671594952300483e-30,0.0,0.0,0.0,0.12682613540200702,0.0,0.0,0.0,0.0,0.12691761285918374,0.13141190618405185,0.0,0.003776513575858772,0.0,0.0
s4_avg_threads,0.0,0.0,0.0,0.12682613540200702,0.0,0.0,0.0,0.0,0.0,0.9982096925613609,0.953765529810966,0.0,0.005749836019009917,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,1.3256364050075364e-15,0.0,0.0,0.12691761285918374,0.9982096925613609,0.0,0.0,0.0,0.0,0.0,0.9355502297610817,0.0,0.005638608978316452,0.0,0.0
s10_avg_threads,4.4467883762818936e-27,0.0,0.0,0.13141190618405185,0.953765529810966,0.0,0.0,0.0,0.0,0.9355502297610817,0.0,0.0,0.006168889771937263,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,3.3217384295038734e-16,0.0,0.0,0.003776513575858772,0.005749836019009917,0.0,0.0,0.0,0.0,0.005638608978316452,0.006168889771937263,0.0,0.0,0.0,0.0
s13_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
