,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,wf7_avg_e2e_latency,wf7_violation_rate,node0_cpu_usage_pct,node1_cpu_usage_pct,node2_cpu_usage_pct
s0_avg_threads,0.09822700977207122,0.05826209127597436,0.0,0.0,0.0,0.0,1.442303776331014e-16,1.7763568394002506e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.4030915086338268e-16,0.0,0.0,0.0,0.0
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.0,0.0,0.059477929921028606,0.046275474364958186,0.0,0.0,0.0011439443342289482,0.0006636747413001131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s4_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,0.0,0.018527234967584533,0.005652156766695009,8.653822657986085e-16,7.105427357601002e-16,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,0.0,0.0,1.392717496469429e-16,1.8764332810566028e-16,3.40457139829377e-16,6.055761952500853e-16,0.008203664807106839,0.004601648649537893,8.406451606365359e-16,1.0248212535001444e-15,0.0,1.5169722562546893e-07,0.0,0.0,8.468022836608064e-05,4.350052621152992e-05,0.0,0.002113811482125578,0.0003747604497502207
s10_avg_threads,6.011994473499066e-16,1.4023869784738819e-16,4.1781524894082873e-16,5.629299843169809e-16,1.702285699146885e-16,2.0185873175002846e-16,0.028657517665514276,0.0286272385662965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,0.0,0.0,4.1781524894082873e-16,5.629299843169809e-16,0.0,0.0,0.0001739446672914854,0.00010229291886112434,0.10537343906358343,0.05544181532280261,0.0,1.5166417012935085e-06,0.0,0.0,0.000846617762003638,0.0004349104727028319,0.0,0.0,0.0
s13_avg_threads,0.0,0.0,1.392717496469429e-16,0.0,0.0,0.0,1.442303776331014e-16,1.7763568394002506e-16,1.4010752677275596e-16,1.7080354225002407e-16,0.0,0.0,0.0,0.0,0.0,1.4802973661668753e-16,0.0,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s15_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.002730453209416938,0.00210184798578954,0.0,0.0,0.05155047485616686,0.028517978559201396,0.0,0.0,4.2092745259014805e-16,2.9605947323337506e-16,0.0,0.0,0.0
s16_avg_threads,1.5029986183747664e-16,0.0,0.0,1.8764332810566028e-16,0.0,0.0,0.0,0.0,2.802150535455119e-16,0.0,0.0,0.0,0.0,0.0,1.4030915086338268e-16,1.4802973661668753e-16,0.0,0.0,0.0
s17_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s18_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.129830766908414e-16,0.0,0.0,0.0,0.0,0.0,0.0
s19_avg_threads,3.005997236749533e-16,1.4023869784738819e-16,0.0,0.0,0.0,0.0,1.442303776331014e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051106086246683,0.02274385889104535
s20_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s21_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,2.884607552662028e-16,3.552713678800501e-16,0.0,0.0,0.0,0.005686684101236139,0.0,0.0,0.1309084225760713,0.046115142327944746,0.0,0.0,0.0
s22_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s23_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
