episode,total_violations,mean_step_total_violations,n_steps
1,40,10.0,4
2,40,10.0,4
3,38,9.5,4
4,38,9.5,4
5,42,10.5,4
6,40,10.0,4
7,38,9.5,4
8,40,10.0,4
9,44,11.0,4
10,42,10.5,4
11,41,10.25,4
12,43,10.75,4
13,41,10.25,4
14,40,10.0,4
15,43,10.75,4
16,43,10.75,4
17,35,8.75,4
18,40,10.0,4
19,31,7.75,4
20,41,10.25,4
21,41,10.25,4
22,40,10.0,4
23,40,10.0,4
24,40,10.0,4
25,44,11.0,4
26,37,9.25,4
27,43,10.75,4
28,42,10.5,4
29,39,9.75,4
30,37,9.25,4
31,39,9.75,4
32,43,10.75,4
33,44,11.0,4
34,39,9.75,4
35,42,10.5,4
36,39,9.75,4
37,35,8.75,4
38,44,11.0,4
39,39,9.75,4
40,35,8.75,4
41,41,10.25,4
42,33,8.25,4
43,43,10.75,4
44,44,11.0,4
45,41,10.25,4
46,39,9.75,4
47,43,10.75,4
48,38,9.5,4
49,43,10.75,4
50,40,10.0,4
51,42,10.5,4
52,39,9.75,4
53,36,9.0,4
54,41,10.25,4
55,42,10.5,4
56,41,10.25,4
57,38,9.5,4
58,45,11.25,4
59,35,8.75,4
60,42,10.5,4
61,39,9.75,4
62,44,11.0,4
63,36,9.0,4
64,40,10.0,4
65,46,11.5,4
66,39,9.75,4
67,40,10.0,4
68,39,9.75,4
69,42,10.5,4
70,37,9.25,4
71,44,11.0,4
72,39,9.75,4
73,44,11.0,4
74,37,9.25,4
75,41,10.25,4
76,40,10.0,4
77,37,9.25,4
78,43,10.75,4
79,39,9.75,4
80,43,10.75,4
81,41,10.25,4
82,41,10.25,4
83,43,10.75,4
84,42,10.5,4
85,41,10.25,4
86,44,11.0,4
87,39,9.75,4
88,32,8.0,4
89,41,10.25,4
90,38,9.5,4
91,36,9.0,4
92,38,9.5,4
93,36,9.0,4
94,39,9.75,4
95,37,9.25,4
96,40,10.0,4
97,44,11.0,4
98,43,10.75,4
99,40,10.0,4
100,40,10.0,4
