task,community
s0_avg_threads,0
s24_avg_threads,0
s27_avg_threads,0
s28_avg_threads,0
s3_avg_threads,0
s18_avg_threads,1
s21_avg_threads,1
s6_avg_threads,1
s12_avg_threads,2
s15_avg_threads,2
s9_avg_threads,2
s1_avg_threads,3
s2_avg_threads,4
s4_avg_threads,5
s5_avg_threads,6
s7_avg_threads,7
s8_avg_threads,8
s10_avg_threads,9
s11_avg_threads,10
s13_avg_threads,11
s14_avg_threads,12
s16_avg_threads,13
s17_avg_threads,14
s19_avg_threads,15
s20_avg_threads,16
s22_avg_threads,17
s23_avg_threads,18
s25_avg_threads,19
s26_avg_threads,20
s29_avg_threads,21
